name,gaussian,mult,prev_day,vol_day,allocation,to_trade,method
SUSHIBTC,5.0,3.0,3.0,20.0,0.07692307692307693,1,1min_average
CRVBTC,3.0,3.0,4.0,20.0,0.07692307692307693,1,1min_average
MKRBTC,3.0,3.0,5.0,30.0,0.07692307692307693,1,1min_average
ONTBTC,5.0,3.0,3.0,20.0,0.07692307692307693,1,1min_average
ORNBTC,3.0,3.0,3.0,40.0,0.07692307692307693,1,1min_average
SCBTC,5.0,3.0,6.0,40.0,0.07692307692307693,1,1min_average
FTMBTC,5.0,3.0,4.0,30.0,0.07692307692307693,1,1min_average
FETBTC,4.0,3.0,6.0,40.0,0.07692307692307693,1,1min_average
NEOBTC,5.0,3.0,7.0,30.0,0.07692307692307693,1,1min_average
YFIBTC,3.0,3.0,3.0,30.0,0.07692307692307693,1,1min_average
COMPBTC,3.0,3.0,7.0,50.0,0.07692307692307693,1,1min_average
UNIBTC,5.0,2.0,6.0,20.0,0.07692307692307693,1,1min_average
UTKBTC,3.0,3.0,3.0,30.0,0.07692307692307693,1,1min_average
