,execID,orderID,clOrdID,clOrdLinkID,account,symbol,side,qty,lastPx,underlyingLastPx,lastMkt,lastLiquidityInd,simpleOrderQty,orderQty,price,displayQty,stopPx,pegOffsetValue,pegPriceType,currency,settlCurrency,execType,ordType,timeInForce,execInst,contingencyType,exDestination,ordStatus,triggered,workingIndicator,ordRejReason,simpleLeavesQty,leavesQty,simpleCumQty,cumQty,avgPx,commission,tradePublishIndicator,multiLegReportingType,text,trdMatchID,execCost,execComm,homeNotional,foreignNotional,transactTime,timestamp,exchange,asset
2635,57075f79-474a-c35f-34a2-723ba6fcc7b7,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,67690,57312.7,,XBME,,,67690,57312.7,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,67690,57312.7,0.000391,,SingleSecurity,Funding,17ae3e3d-a6f0-8a56-b0c7-264118c96749,-118119050,0.00046185000000000003,1.1811905,-67690,2021-02-21 12:00:00,2021-02-21T12:00:00.000Z,BITMEX,XBT
2636,c332b130-6966-b018-c1c4-a83b705ed505,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,67690,58100.99,,XBME,,,67690,58100.99,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,67690,58100.99,0.000818,,SingleSecurity,Funding,9acf1195-a61c-cb3a-e590-5aa16eed14ef,-116494490,0.00095292,1.1649449,-67690,2021-02-21 20:00:00,2021-02-21T20:00:00.003Z,BITMEX,XBT
2768,7ec885fb-aa39-381d-31b8-da092605e6ba,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,89233,51679.83,,XBME,,,89233,51679.83,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,89233,51679.83,0.0001,,SingleSecurity,Funding,c028077f-bc40-6588-f1ad-150917538ed6,-172665855,0.00017267,1.72665855,-89233,2021-03-03 12:00:00,2021-03-03T12:00:00.000Z,BITMEX,XBT
2924,e22e3fd3-62ac-aa79-80b7-e4fd588725a7,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,12343,48165.64,,XBME,,,12343,48165.64,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,12343,48165.64,0.0001,,SingleSecurity,Funding,ef53369d-1699-7138-edf1-080f1b921fca,-25624068,2.5620000000000002e-05,0.25624068,-12343,2021-03-06 12:00:00,2021-03-06T12:00:00.002Z,BITMEX,XBT
2955,325cb436-0fab-e4b0-02a8-5fec9b3bbfc6,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,33429,50388.08,,XBME,,,33429,50388.08,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,33429,50388.08,0.000198,,SingleSecurity,Funding,052bcf1e-f304-495d-c109-5264acd3417a,-66356565,0.00013139,0.66356565,-33429,2021-03-07 20:00:00,2021-03-07T20:00:00.007Z,BITMEX,XBT
2990,183c7490-0767-75d0-b12c-79a19c7938c0,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,12395,51330.43,,XBME,,,12395,51330.43,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,12395,51330.43,0.0001,,SingleSecurity,Funding,553094c1-2685-95eb-260d-4fdd72a44bba,-24145460,2.415e-05,0.2414546,-12395,2021-03-08 20:00:00,2021-03-08T20:00:00.005Z,BITMEX,XBT
3061,edbd0935-fd4b-3108-3a21-040aff524360,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,47032,54255.16,,XBME,,,47032,54255.16,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,47032,54255.16,0.000793,,SingleSecurity,Funding,bb0b177d-6902-ada5-097a-858a799902fe,-86679976,0.00068737,0.86679976,-47032,2021-03-09 12:00:00,2021-03-09T12:00:00.004Z,BITMEX,XBT
3062,f71ea13f-9456-d1d7-c18e-9d38177a2302,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,47032,54121.64,,XBME,,,47032,54121.64,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,47032,54121.64,0.00044,,SingleSecurity,Funding,13630617-754b-a652-c6ad-135399866af1,-86915136,0.00038243,0.86915136,-47032,2021-03-09 20:00:00,2021-03-09T20:00:00.002Z,BITMEX,XBT
3104,93e22d5c-7530-8150-cb60-e8c8bfce9114,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,39591,54858.64,,XBME,,,39591,54858.64,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,39591,54858.64,0.0001,,SingleSecurity,Funding,bb445bb6-bfa4-7a2a-90c8-e8723f3a1eb9,-72174393,7.217e-05,0.72174393,-39591,2021-03-10 12:00:00,2021-03-10T12:00:00.000Z,BITMEX,XBT
3139,3f284400-33e9-5aba-fddc-100f1c7daf96,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,51734,56727.77,,XBME,,,51734,56727.77,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,51734,56727.77,0.0001,,SingleSecurity,Funding,a8de498d-be94-154e-87ac-50260afddce2,-91207042,9.121e-05,0.91207042,-51734,2021-03-10 20:00:00,2021-03-10T20:00:00.001Z,BITMEX,XBT
3165,7c09dbcc-06f1-6869-7af8-372f52440589,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,36765,56841.11,,XBME,,,36765,56841.11,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,36765,56841.11,0.000431,,SingleSecurity,Funding,5fef0c6d-7f05-7cb9-6fb3-5f11326e99f8,-64669635,0.00027873,0.64669635,-36765,2021-03-11 20:00:00,2021-03-11T20:00:00.004Z,BITMEX,XBT
3221,4b01cba9-e52e-d245-eb45-ea2251285d19,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,36915,60791.09,,XBME,,,36915,60791.09,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,36915,60791.09,0.001169,,SingleSecurity,Funding,82946e89-1e3a-0244-2a86-58521679756c,-60725175,0.00070988,0.60725175,-36915,2021-03-13 20:00:00,2021-03-13T20:00:00.004Z,BITMEX,XBT
3240,4ade7486-9dd7-eeac-1d8c-761948f2f332,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,53944,61350.29,,XBME,,,53944,61350.29,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,53944,61350.29,0.001214,,SingleSecurity,Funding,c4af0c4a-eba5-93ad-b64b-100b729a7aeb,-87928720,0.00106745,0.8792872,-53944,2021-03-14 04:00:00,2021-03-14T04:00:00.002Z,BITMEX,XBT
3356,2cd07de7-412f-cc67-7dc3-41d50a523642,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,18679,55760.3,,XBME,,,18679,55760.3,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,18679,55760.3,0.0001,,SingleSecurity,Funding,78cfbe4b-1dd4-8b09-0b70-bd44b23fe786,-33491447,3.349e-05,0.33491447,-18679,2021-03-16 20:00:00,2021-03-16T20:00:00.000Z,BITMEX,XBT
3430,49f4a36c-cd65-dd41-2821-ed9076685ce6,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,1669,55508.95,,XBME,,,1669,55508.95,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,1669,55508.95,0.0001,,SingleSecurity,Funding,8319bfe3-2f0e-2746-b24f-78368597cbfe,-3007538,3.01e-06,0.03007538,-1669,2021-03-17 04:00:00,2021-03-17T04:00:00.000Z,BITMEX,XBT
3447,15a6abb1-dab7-d06b-bd3d-899c8f2b0281,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,17350,58709.02,,XBME,,,17350,58709.02,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,17350,58709.02,0.0001,,SingleSecurity,Funding,9f8e34f5-b041-2e39-2cce-30deca87f141,-29547050,2.955e-05,0.2954705,-17350,2021-03-18 04:00:00,2021-03-18T04:00:00.008Z,BITMEX,XBT
3475,ad33a914-6488-e3d0-7105-c268c6be678d,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,14332,57795.19,,XBME,,,14332,57795.19,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,14332,57795.19,0.000428,,SingleSecurity,Funding,cb6768a8-9f0d-2e0d-32d8-dea65d3f7d58,-24794360,0.00010612000000000001,0.2479436,-14332,2021-03-19 04:00:00,2021-03-19T04:00:00.005Z,BITMEX,XBT
3477,ff00f7e5-ad47-7375-56b4-e45d8ff2c504,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,14632,58817.26,,XBME,,,14632,58817.26,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,14632,58817.26,0.0001,,SingleSecurity,Funding,6a630f56-2949-4fd6-1e2e-f28678b126f2,-24874400,2.487e-05,0.248744,-14632,2021-03-19 12:00:00,2021-03-19T12:00:00.000Z,BITMEX,XBT
3505,94249725-8408-8269-4ccb-867b16527a45,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,21177,58891.25,,XBME,,,21177,58891.25,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,21177,58891.25,0.0001,,SingleSecurity,Funding,b02a959d-89b2-7f81-894c-fbe5d991ffcc,-35958546,3.596e-05,0.35958546,-21177,2021-03-19 20:00:00,2021-03-19T20:00:00.001Z,BITMEX,XBT
3537,01eeaa4f-56ec-da73-3ea0-5a514948443f,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,16192,58408.3,,XBME,,,16192,58408.3,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,16192,58408.3,0.0001,,SingleSecurity,Funding,b1a90713-9479-6de9-dba4-7018d4879d89,-27720704,2.7720000000000002e-05,0.27720704,-16192,2021-03-20 04:00:00,2021-03-20T04:00:00.001Z,BITMEX,XBT
3568,7c90b6d1-671c-d8bb-df31-e4017d977b70,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,12186,59256.2,,XBME,,,12186,59256.2,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,12186,59256.2,0.0001,,SingleSecurity,Funding,4689fee9-971e-ee3d-e4fe-9dcaa607548d,-20569968,2.057e-05,0.20569968,-12186,2021-03-20 12:00:00,2021-03-20T12:00:00.001Z,BITMEX,XBT
3569,0e09d53e-1fb4-5bc3-2cc6-c47338279729,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,12186,59255.3,,XBME,,,12186,59255.3,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,12186,59255.3,0.0001,,SingleSecurity,Funding,08ef217e-c3ea-36b9-96f0-4c9e5a73a615,-20569968,2.057e-05,0.20569968,-12186,2021-03-20 20:00:00,2021-03-20T20:00:00.003Z,BITMEX,XBT
3608,533063c5-96e7-012c-2570-c20b2b69650b,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,22640,57583.18,,XBME,,,22640,57583.18,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,22640,57583.18,0.0001,,SingleSecurity,Funding,c2292204-785a-a125-f820-5e015936c884,-39325680,3.933e-05,0.3932568,-22640,2021-03-21 20:00:00,2021-03-21T20:00:00.003Z,BITMEX,XBT
3625,55489783-d1ea-5bfa-2d9b-8d298e0c0fe8,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,24764,57755.81,,XBME,,,24764,57755.81,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,24764,57755.81,0.0001,,SingleSecurity,Funding,b474b148-28f2-3e6d-8dbc-6fd792bc260a,-42866484,4.287e-05,0.42866484,-24764,2021-03-22 12:00:00,2021-03-22T12:00:00.003Z,BITMEX,XBT
3641,5c529d39-0a09-c63f-bfa5-b6a82b089fb6,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,19329,55026.49,,XBME,,,19329,55026.49,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,19329,55026.49,0.000065,,SingleSecurity,Funding,9a99886a-1856-9aab-b0a1-423ea5bedf09,-35120793,2.283e-05,0.35120793,-19329,2021-03-23 20:00:00,2021-03-23T20:00:00.000Z,BITMEX,XBT
3694,66d118f0-b869-0088-0393-704ff9dfa8e1,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,7989,52449,,XBME,,,7989,52449,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,7989,52449,0.0001,,SingleSecurity,Funding,e2c8eb1a-4dbe-c9bb-3cbd-a02404bf8e6f,-15235023,1.524e-05,0.15235023,-7989,2021-03-26 04:00:00,2021-03-26T04:00:00.001Z,BITMEX,XBT
3720,f889677c-2102-6d13-35d6-e28d256fa75c,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,11967,53849.88,,XBME,,,11967,53849.88,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,11967,53849.88,0.0001,,SingleSecurity,Funding,933e24d2-5004-4fe4-304a-f18a2f50a30d,-22222719,2.222e-05,0.22222719,-11967,2021-03-26 20:00:00,2021-03-26T20:00:00.003Z,BITMEX,XBT
3807,17a16ef1-62e7-a55c-de46-de57ed18511e,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,47469,58592.03,,XBME,,,47469,58592.03,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,47469,58592.03,0.000599,,SingleSecurity,Funding,a58459b8-c1bf-d2fb-bed6-1fd10a44c4c3,-81029583,0.00048537,0.81029583,-47469,2021-03-31 20:00:00,2021-03-31T20:00:00.000Z,BITMEX,XBT
3808,103cb57f-a556-f654-0f42-f0807cd65d12,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,47469,59124.87,,XBME,,,47469,59124.87,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,47469,59124.87,0.00082,,SingleSecurity,Funding,fea0ebaa-d2d7-ca67-d709-449277187078,-80270079,0.00065821,0.80270079,-47469,2021-04-01 04:00:00,2021-04-01T04:00:00.002Z,BITMEX,XBT
3809,e8ee4a16-4945-0532-6ede-a06067a9d7bd,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,47469,58575.6,,XBME,,,47469,58575.6,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,47469,58575.6,0.001117,,SingleSecurity,Funding,85962f8d-6586-7c75-e7c6-803f1977c64d,-81029583,0.0009051,0.81029583,-47469,2021-04-01 12:00:00,2021-04-01T12:00:00.003Z,BITMEX,XBT
3810,a435f687-0ed3-cc7c-1bd7-5e3c67d4f4e8,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,47469,58926.56,,XBME,,,47469,58926.56,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,47469,58926.56,0.000817,,SingleSecurity,Funding,4c21c9df-ac5d-1bf5-e556-4f364adfab40,-80554893,0.00065813,0.80554893,-47469,2021-04-01 20:00:00,2021-04-01T20:00:00.003Z,BITMEX,XBT
3839,d9915863-d81c-cf69-8f3b-f10d9cbe8983,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,61307,59560.84,,XBME,,,61307,59560.84,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,61307,59560.84,0.000988,,SingleSecurity,Funding,b79bd6cc-81c1-a09b-14e9-2c486583d6b1,-102934453,0.00101699,1.02934453,-61307,2021-04-02 12:00:00,2021-04-02T12:00:00.000Z,BITMEX,XBT
3840,83cb28f0-8dad-6a4e-f501-f3503bcae70f,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,61307,58856.98,,XBME,,,61307,58856.98,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,61307,58856.98,0.001344,,SingleSecurity,Funding,ebc084ca-889b-30d7-7cff-edb477e998fe,-104160593,0.00139992,1.04160593,-61307,2021-04-02 20:00:00,2021-04-02T20:00:00.000Z,BITMEX,XBT
3841,3f909b81-7758-11b9-ce56-15c1ac8c026a,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,61307,59226.21,,XBME,,,61307,59226.21,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,61307,59226.21,0.000598,,SingleSecurity,Funding,31574fbb-34e5-5f74-32f0-a09493fa4537,-103486216,0.00061885,1.03486216,-61307,2021-04-03 04:00:00,2021-04-03T04:00:00.000Z,BITMEX,XBT
3842,7e95bcf1-ae47-420b-6f23-6f466080e159,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,61307,59291.9,,XBME,,,61307,59291.9,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,61307,59291.9,0.0001,,SingleSecurity,Funding,7fb7056b-d94a-5404-36ec-d3426ea9fc1a,-103424909,0.00010342,1.03424909,-61307,2021-04-03 12:00:00,2021-04-03T12:00:00.000Z,BITMEX,XBT
3870,ffd32c83-fb0f-e996-aada-8f3f83d5c8d6,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,26176,57296.26,,XBME,,,26176,57296.26,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,26176,57296.26,0.0001,,SingleSecurity,Funding,46aeeae9-e3d7-f21e-cdb8-36555b099b64,-45677120,4.568e-05,0.4567712,-26176,2021-04-04 12:00:00,2021-04-04T12:00:00.001Z,BITMEX,XBT
3871,49b58bce-74db-2109-0a7e-0cc3665b12c5,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,26176,57966.99,,XBME,,,26176,57966.99,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,26176,57966.99,0.0001,,SingleSecurity,Funding,46b5ce53-e5cd-b2a3-5927-48735ddadf24,-45153600,4.515e-05,0.451536,-26176,2021-04-04 20:00:00,2021-04-04T20:00:00.004Z,BITMEX,XBT
3872,795f81b3-3f1e-4b8d-e9c7-05891e37c152,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,26176,57484.33,,XBME,,,26176,57484.33,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,26176,57484.33,0.0001,,SingleSecurity,Funding,2ed72a52-84e2-737e-591c-84bb07707870,-45546240,4.555e-05,0.4554624,-26176,2021-04-05 04:00:00,2021-04-05T04:00:00.002Z,BITMEX,XBT
3873,bf0982a2-c756-020b-dd8a-7effe5eae3b0,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,26176,57745.53,,XBME,,,26176,57745.53,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,26176,57745.53,0.000398,,SingleSecurity,Funding,ec4daad5-6623-dda0-4709-2cc3e959ca27,-45336832,0.00018044,0.45336832,-26176,2021-04-05 12:00:00,2021-04-05T12:00:00.001Z,BITMEX,XBT
3901,49692363-3b09-3c87-5b21-886ff950118b,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,36009,59032.25,,XBME,,,36009,59032.25,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,36009,59032.25,0.0001,,SingleSecurity,Funding,0bd44d60-0861-6f06-bdbc-da49b6c30bee,-60999246,6.1e-05,0.60999246,-36009,2021-04-05 20:00:00,2021-04-05T20:00:00.001Z,BITMEX,XBT
3902,5f8c5141-b9ff-948e-5da6-8cdf4cb1d9c0,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,36009,58623.62,,XBME,,,36009,58623.62,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,36009,58623.62,0.000645,,SingleSecurity,Funding,f6d95a77-9085-b199-dd58-ecdcbf577eb3,-61431354,0.00039623,0.61431354,-36009,2021-04-06 04:00:00,2021-04-06T04:00:00.006Z,BITMEX,XBT
3903,8bf3d9df-2d28-b555-f41e-8375496f1413,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,36009,58534,,XBME,,,36009,58534,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,36009,58534,0.001596,,SingleSecurity,Funding,bc1dfcba-bde7-0ca7-3a21-66adc67d11dd,-61503372,0.00098159,0.61503372,-36009,2021-04-06 12:00:00,2021-04-06T12:00:00.001Z,BITMEX,XBT
3931,15532522-3ebd-b056-312e-73a14a091119,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,18503,57908.31,,XBME,,,18503,57908.31,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,18503,57908.31,0.000304,,SingleSecurity,Funding,9d065b3c-7603-d504-b15a-69ed43beca72,-31954681,9.714000000000001e-05,0.31954681,-18503,2021-04-07 04:00:00,2021-04-07T04:00:00.001Z,BITMEX,XBT
3957,ceb8c3d2-2f25-f03e-72ab-5447d6c9f5a4,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,10569,60507.42,,XBME,,,10569,60507.42,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,10569,60507.42,0.000372,,SingleSecurity,Funding,2e7f8f59-5374-cb7d-de2e-c8fa5379fda2,-17470557,6.499e-05,0.17470557,-10569,2021-04-10 12:00:00,2021-04-10T12:00:00.005Z,BITMEX,XBT
3958,1e5f3131-d9f7-0ef1-efe3-7ddac2d83f75,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,10569,59536.27,,XBME,,,10569,59536.27,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,10569,59536.27,0.002997,,SingleSecurity,Funding,f0341508-524c-a974-2a54-e0ed16deaed2,-17755920,0.0005321400000000001,0.1775592,-10569,2021-04-10 20:00:00,2021-04-10T20:00:00.002Z,BITMEX,XBT
3986,3ead3c89-5655-1188-755e-63ac009a5cb1,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,5072,60240.21,,XBME,,,5072,60240.21,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,5072,60240.21,0.001328,,SingleSecurity,Funding,3a3dc641-2039-43db-d1aa-95c30097cc83,-8419520,0.00011181,0.0841952,-5072,2021-04-11 04:00:00,2021-04-11T04:00:00.006Z,BITMEX,XBT
3987,9516ad1f-20e6-f292-33b0-20772441042f,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,5072,59681.6,,XBME,,,5072,59681.6,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,5072,59681.6,0.000495,,SingleSecurity,Funding,196d429b-020b-201a-971a-b50e369cfae6,-8500672,4.2080000000000004e-05,0.08500672,-5072,2021-04-11 12:00:00,2021-04-11T12:00:00.009Z,BITMEX,XBT
3988,92534634-9334-6f2a-e4b6-04f5b08d93d6,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,5072,59645.32,,XBME,,,5072,59645.32,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,5072,59645.32,0.000907,,SingleSecurity,Funding,03d08930-16f8-5724-01c4-10f373ca0fc6,-8505744,7.715e-05,0.08505744,-5072,2021-04-11 20:00:00,2021-04-11T20:00:00.000Z,BITMEX,XBT
3989,ac9c41b0-a143-675d-5853-aca2132e3cad,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,5072,60331.51,,XBME,,,5072,60331.51,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,5072,60331.51,0.001067,,SingleSecurity,Funding,280d37be-3b16-35ff-0d18-09e82b18a7cb,-8409376,8.973e-05,0.08409376,-5072,2021-04-12 04:00:00,2021-04-12T04:00:00.004Z,BITMEX,XBT
3990,07894393-0ff7-161e-5274-180a7b09d1b4,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,5072,60219.01,,XBME,,,5072,60219.01,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,5072,60219.01,0.000914,,SingleSecurity,Funding,447d4931-a9f5-1368-371d-987ba96e0d6c,-8424592,7.7e-05,0.08424592,-5072,2021-04-12 12:00:00,2021-04-12T12:00:00.004Z,BITMEX,XBT
3991,a8f980ab-e838-316f-127d-d78b4111e889,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,5072,60026.97,,XBME,,,5072,60026.97,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,5072,60026.97,0.001305,,SingleSecurity,Funding,50003502-4f01-0c00-c602-2bc63c02a977,-8449952,0.00011027,0.08449952,-5072,2021-04-12 20:00:00,2021-04-12T20:00:00.002Z,BITMEX,XBT
3992,4fab3eca-044f-475d-4df8-35a4c3bb5b5e,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,5072,60363.6,,XBME,,,5072,60363.6,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,5072,60363.6,0.000741,,SingleSecurity,Funding,1329f4d3-da34-cb61-682b-d3c3040fb538,-8404304,6.228000000000001e-05,0.08404304,-5072,2021-04-13 04:00:00,2021-04-13T04:00:00.000Z,BITMEX,XBT
4020,dca52b53-6236-9e86-2ef8-b8454f316864,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,9078,63063.26,,XBME,,,9078,63063.26,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,9078,63063.26,0.001701,,SingleSecurity,Funding,93dc5ca1-1d57-9e28-a563-d4e37d59ddc8,-14397708,0.00024491,0.14397708,-9078,2021-04-13 20:00:00,2021-04-13T20:00:00.002Z,BITMEX,XBT
4021,4c313754-fd5d-80c3-9a9a-015ff085b1f5,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,9078,63765.23,,XBME,,,9078,63765.23,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,9078,63765.23,0.001282,,SingleSecurity,Funding,8e775be9-9951-9e00-a676-71a4498eb202,-14234304,0.00018248,0.14234304,-9078,2021-04-14 04:00:00,2021-04-14T04:00:00.002Z,BITMEX,XBT
4022,e44ea176-8319-e1c0-9be0-34ef719921c9,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,9078,64563.39,,XBME,,,9078,64563.39,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,9078,64563.39,0.001016,,SingleSecurity,Funding,72f8ec41-37dd-fa04-6c6f-bacf829618d6,-14061822,0.00014287,0.14061822,-9078,2021-04-14 12:00:00,2021-04-14T12:00:00.001Z,BITMEX,XBT
4048,a6ab1583-1d16-69a4-3506-02c9a37490ee,00000000-0000-0000-0000-000000000000,,,1597031,XBTUSD,,16773,63062.1,,XBME,,,16773,63062.1,,,,,USD,XBt,Funding,Limit,AtTheClose,,,XBME,Filled,,False,,,0,,16773,63062.1,0.000691,,SingleSecurity,Funding,0abf22e7-4dae-34f9-88ba-b5f85faad05e,-26601978,0.00018382,0.26601978,-16773,2021-04-15 04:00:00,2021-04-15T04:00:00.002Z,BITMEX,XBT
