time,open,high,low,close,volume,total_trades,total_sells,total_buys,total_big,mean_size,buys_mean,sells_mean,big_mean,median_size,buys_median,sells_median,big_median,big_buy_median,big_sell_median,buy_percentage,buy_large_percentage,sell_large_percentage
2020-04-22 00:00:00+00:00,6853.67,7167.37,6826.0,7136.84,13138.794361981367,71480.0,48771.0,22709.0,1979.0,1293.3707743204243,1735.2900520347496,1087.6020823187298,19574.812844794462,151.323538322,290.8903838,123.569409,14977.19142,15056.533145463798,14967.83915,0.42624814343057676,0.184598959507694,0.2344220758784783
2020-04-23 00:00:00+00:00,7136.81,7775.0,7031.14,7488.83,22759.364818117283,116593.0,70113.0,46480.0,3175.0,1448.6123446099978,1667.9158326178895,1303.229517992868,23450.745587254074,180.84144400000002,262.7269215,143.50240484019997,18716.286744649,18352.36,18862.7375,0.45900307152980446,0.19741037283361879,0.24342427996486227
2020-04-24 00:00:00+00:00,7491.5,7612.24,7390.0,7514.64,13761.211803160943,83951.0,55589.0,28362.0,1813.0,1232.0708142395808,1614.283647626524,1037.0624424300413,24848.39382227892,143.496767535,226.56554999999997,100.4732411592,19456.355241772402,19919.420548178998,19313.57382062,0.4426445857773891,0.20261141386439324,0.232935140151845
2020-04-25 00:00:00+00:00,7514.99,7720.0,7437.94,7547.61,7443.754184271077,68652.0,45879.0,22773.0,921.0,819.2700692894184,1084.4527729516615,687.6410950201392,24167.972232815602,95.67937137445,143.130939782,81.3305340116,18579.1282768892,18576.0676211803,18602.0786768586,0.4390870281378937,0.18350239655744294,0.21224636163407287
2020-04-26 00:00:00+00:00,7547.61,7715.0,7490.0,7706.4,9288.744076120844,68525.0,46578.0,21947.0,1271.0,1032.0328844603857,1332.2223352599312,890.5871831271891,22141.242050125013,150.1448817331,301.5072182628,103.43411312810001,18251.8625083284,18125.64755998,18452.518823849998,0.4134369557586869,0.15821591247695188,0.23971250088968113
2020-04-27 00:00:00+00:00,7706.4,7810.99,7635.69,7789.77,15439.397319330665,83363.0,56231.0,27132.0,1999.0,1428.7623447845258,1787.5563179851315,1255.6407911774616,26499.61337223995,201.36611693519998,386.65250000000003,143.57423688920002,19381.85,18881.6412282132,20129.741037,0.40720041383130223,0.17321198594867715,0.27154113127654556
2020-04-28 00:00:00+00:00,7789.77,7794.74,7672.0,7755.01,10984.76643504099,72114.0,51114.0,21000.0,1325.0,1177.4857261602249,1511.4390622771703,1040.2822191277905,24640.39256579528,166.18458952495,364.73046580209996,114.6877514901,19306.397009251803,16605.470055679998,20910.501000149998,0.3737960434126981,0.12208842247096631,0.2624044240460035
2020-04-29 00:00:00+00:00,7757.18,8988.0,7720.0,8793.75,48683.629732119574,188243.0,120998.0,67245.0,7474.0,2177.8161830616714,2729.2309781621116,1871.3657632487061,26905.527676475085,358.8820515072,499.999879232,276.83130771795004,19914.47780917,20467.926,19619.4164012,0.4476723112049105,0.2315337202101388,0.2589838307587498
2020-04-30 00:00:00+00:00,8794.99,9478.66,8407.0,8624.28,44775.998199436406,204387.0,123091.0,81296.0,6963.0,1951.31499199752,2326.847761749058,1703.2926991432812,25389.54697819209,313.61286482919996,457.06875,211.6,19674.081486609,19451.344,19954.42432475005,0.47430368290379343,0.21072029100192502,0.2325521146646039
2020-05-01 00:00:00+00:00,8624.68,9075.98,8622.72,8829.42,21660.18004746082,121973.0,81944.0,40029.0,3075.0,1562.6422089426237,2154.5801435990506,1273.4851799183866,26200.398682923656,196.96788319799998,439.17279307229995,135.8364908178,20099.4297899244,20116.2358908627,20076.4995740044,0.4524953672894506,0.19285775287109022,0.22983982897462532
2020-05-02 00:00:00+00:00,8829.42,9025.0,8762.01,8985.58,10539.208304061629,83589.0,56958.0,26631.0,1479.0,1121.437349037815,1598.0538497589732,898.5929017133802,22485.821528255434,153.11336215749998,358.8168,104.299818424,17889.6,18052.492332393802,17677.3870480964,0.4539988351880675,0.17524213268451508,0.1795326867025144
2020-05-03 00:00:00+00:00,8984.69,9203.52,8731.01,8909.95,17147.26838970189,104393.0,65555.0,38838.0,2434.0,1474.9014405952535,1900.8964607515481,1222.5210791761374,24160.62921101405,199.64063222160001,424.12457747609994,140.65528788799998,18699.745593109652,19227.616416,18240.0,0.47949153152071716,0.1826771499895315,0.19926222766035084
2020-05-04 00:00:00+00:00,8907.85,8970.0,8533.98,8883.53,18380.562960541676,100844.0,64868.0,35976.0,2764.0,1598.401847754415,2074.154087811476,1334.5481357809792,27420.3614035857,211.365341328,433.7431797500001,145.26076015,21109.78699,20651.5674936,21342.625,0.46293269541411053,0.21675508467270624,0.25343685140730987
2020-05-05 00:00:00+00:00,8887.81,9126.27,8769.69,9028.79,16392.299366091647,93339.0,61539.0,31800.0,2474.0,1570.0038692699231,1927.936167078151,1385.0439727766154,27513.29438576892,196.063216538,399.45858493979995,138.7233207192,20160.977951813602,21446.917383,19592.104575280006,0.41836553885379785,0.18772049315775952,0.27677170514764793
2020-05-06 00:00:00+00:00,9028.78,9418.0,8922.13,9155.79,27638.89038919029,126164.0,78495.0,47669.0,4628.0,2019.2743633311582,2484.57567988425,1736.7028815964072,29939.869628117827,237.61394128985,396.27707851,175.3543060308,21110.708850852097,22870.5185062837,20020.96258,0.4648977988945166,0.2590824944145111,0.2848092588749252
2020-05-07 00:00:00+00:00,9155.79,10079.0,9028.89,10004.77,39445.7809203375,185876.0,116754.0,69122.0,6972.0,2049.4250465639175,2373.4341272851852,1857.6015914564664,28844.99785459027,278.72200053125,382.6794,220.56265956599998,20280.2885023176,21043.966800000002,19922.67636,0.4306635548263262,0.23118808886774606,0.2967372798151015
2020-05-08 00:00:00+00:00,10000.37,10049.0,9730.0,9810.0,26242.14854943942,151560.0,98304.0,53256.0,4870.0,1718.7596973309862,2075.878599634023,1525.2912295061722,26840.414477159553,248.30935781249997,398.27240000000006,196.16905508675,19689.008848013298,19115.5571888175,19971.2245369256,0.4243954680541316,0.21270048594256102,0.28908537654087185
2020-05-09 00:00:00+00:00,9806.01,9920.73,9521.0,9537.21,17927.827489002015,122842.0,78707.0,44135.0,3197.0,1416.7177878524085,1862.125230186867,1166.9552830252476,25628.964386359854,188.67390265619997,274.9766692,143.4558263868,19203.8319558,19169.24,19287.0,0.4722389341144264,0.23563931295930296,0.2351682909858291
2020-05-10 00:00:00+00:00,9530.71,9559.98,8106.7,8729.86,50897.17192953781,259254.0,156115.0,103139.0,8947.0,1703.5693796160958,2036.4451428784598,1483.6515411821401,23925.332484140843,196.15641562625,271.2879422496,182.93688000000003,18778.444000000003,19812.0,18164.0385399113,0.47556549974057893,0.23830963163494387,0.2463648203957842
2020-05-11 00:00:00+00:00,8731.72,9182.66,8185.0,8572.4,39997.81503984604,196980.0,121881.0,75099.0,6360.0,1763.4853180749178,2035.9584046073217,1595.5965058277504,24353.740691145635,293.97140977034996,420.046677,230.177629,19994.2553098822,20123.534237496497,19939.2431,0.44015848033978455,0.19401227015902714,0.2518788379208802
2020-05-12 00:00:00+00:00,8571.41,8982.9,8534.85,8821.42,20218.48480508985,121892.0,80572.0,41320.0,3193.0,1457.7828639117697,1765.0488231979102,1300.206665757283,24728.61967049984,200.29018889374998,352.72380000000004,169.48977104840003,19634.691120716398,21527.6654541317,18914.280000000002,0.410439350767826,0.18212791898351394,0.2622277752229485
2020-05-13 00:00:00+00:00,8817.03,9420.18,8803.97,9321.26,21346.646266539614,117639.0,76769.0,40870.0,3655.0,1656.8707988320123,1975.1701401801413,1487.4157573322136,26161.49473748322,239.94021149280002,355.5988861006,191.37659582779997,20528.519583070796,20403.34100298,20643.17246715,0.4141609815329613,0.2101639908522354,0.28041615398587133
2020-05-14 00:00:00+00:00,9321.26,9943.93,9257.15,9795.34,28749.353144467546,138457.0,84716.0,53741.0,5427.0,1999.2831892535962,2268.972223237072,1828.2014765274764,24749.619271731484,250.25958594000002,413.7624811896,214.42059794375,18905.041302,19240.0,18694.668954788198,0.4404997751476153,0.20737979649863675,0.2778406715504924
2020-05-15 00:00:00+00:00,9795.44,9849.0,9120.0,9312.1,25100.126820550195,148750.0,89222.0,59528.0,4293.0,1597.3260002364066,1976.1420230563274,1344.5838491254224,25621.927332294068,196.0298442447,281.01336000000003,144.3293772856,20053.431763507502,19604.154411495,20653.80657034435,0.4950954212104576,0.23105080333736858,0.23188646890348177
