startTime,open,high,low,close,volume
2019-11-28,1381.0,2119.25,1381.0,2028.0,16380.5005
2019-11-29,2028.0,2141.0,2012.5,2099.25,3928.124775
2019-11-30,2099.25,2104.75,2005.25,2025.75,2756.6254
2019-12-01,2025.75,2025.75,1932.5,1989.75,0.0
2019-12-02,1989.75,2015.75,1944.5,1993.75,0.0
2019-12-03,1993.75,2051.5,1981.5,1991.25,4694.26575
2019-12-04,1991.25,2030.0,1981.75,2012.0,0.0
2019-12-05,2012.0,2026.5,1991.0,2018.75,0.0
2019-12-06,2018.75,2026.75,2014.25,2014.25,37.900225
2019-12-07,2014.25,2067.5,2000.0,2026.75,0.0
2019-12-08,2026.75,2026.75,1994.5,1994.5,0.0
2019-12-09,1994.5,2000.25,1966.25,1966.25,37.05405
2019-12-10,1966.25,1999.0,1923.25,1923.25,0.0
2019-12-11,1923.25,1942.25,1875.0,1875.0,95.1375
2019-12-12,1875.0,1897.25,1838.75,1838.75,278.337125
2019-12-13,1838.75,1847.5,1792.75,1792.75,513.8862
2019-12-14,1792.75,1802.75,1728.5,1728.5,21966.42725
2019-12-15,1728.5,1728.5,1710.75,1710.75,85.7375
2019-12-16,1710.75,1738.0,1698.75,1719.75,10647.9664
2019-12-17,1719.75,1755.75,1703.5,1751.25,10550.973825
2019-12-18,1751.25,1751.25,1722.0,1751.25,34.815
2019-12-19,1751.25,1761.75,1740.75,1761.75,17.76085
2019-12-20,1761.75,1761.75,1758.5,1758.5,0.0
2019-12-21,1758.5,1758.5,1751.5,1751.5,0.0
2019-12-22,1751.5,1751.5,1697.5,1724.0,17191.25
2019-12-23,1724.0,1802.0,1704.5,1799.5,3996.12545
2019-12-24,1799.5,1841.5,1799.25,1841.5,33176.241775
2019-12-25,1841.5,1841.5,1841.5,1841.5,429.62195
2019-12-26,1841.5,1862.0,1838.5,1838.5,25571.3086
2019-12-27,1838.5,2090.75,1838.0,2085.0,12754.6951
2019-12-28,2085.0,2085.0,2002.0,2024.25,32838.39875
2019-12-29,2024.25,2058.25,2009.25,2049.5,11665.7536
2019-12-30,2049.5,2050.0,2025.0,2025.0,0.0
2019-12-31,2025.0,2042.75,2015.25,2015.25,0.0
2020-01-01,2015.25,2039.5,2005.5,2006.0,0.0
2020-01-02,2006.0,2171.0,1700.0,2039.0,566515.55835
2020-01-03,2039.0,2063.5,2028.5,2028.5,2669.1003
2020-01-04,2028.5,2031.5,2028.5,2030.5,0.0
2020-01-05,2030.5,2032.5,2028.5,2028.5,0.0
2020-01-06,2028.5,2032.75,2028.5,2032.75,8126.34325
2020-01-07,2032.75,2469.0,2032.75,2041.75,0.0
2020-01-08,2041.75,2082.5,2032.75,2082.5,72614.9288
2020-01-09,2082.5,2118.0,2073.5,2118.0,84.09
2020-01-10,2118.0,2130.0,2117.75,2130.0,8222.4507
2020-01-11,2130.0,2161.5,2126.5,2161.5,0.0
2020-01-12,2161.5,2231.25,2103.75,2128.0,13533.452275
2020-01-13,2128.0,2245.0,2125.75,2125.75,49545.61005
2020-01-14,2125.75,2151.0,2124.5,2130.75,40938.633425
2020-01-15,2130.75,2162.25,2129.0,2131.25,3644.2223
2020-01-16,2131.25,2152.25,2131.25,2152.25,534.206275
2020-01-17,2152.25,2159.5,2152.25,2159.5,0.0
2020-01-18,2159.5,2182.0,2157.0,2182.0,1739.15435
2020-01-19,2182.0,2203.0,2176.25,2203.0,0.0
2020-01-20,2203.0,2223.0,2201.25,2223.0,20340.9561
2020-01-21,2223.0,2232.5,2223.0,2223.0,0.0
2020-01-22,2223.0,2226.25,2221.75,2221.75,49.868
2020-01-23,2221.75,2226.75,2200.0,2215.0,37464.997575
2020-01-24,2215.0,2219.0,2211.0,2216.75,0.0
2020-01-25,2216.75,2219.0,2192.0,2202.5,8334.7005
2020-01-26,2202.5,2218.5,2202.5,2202.5,0.0
2020-01-27,2202.5,2233.25,2195.75,2197.5,20977.957575
2020-01-28,2197.5,2215.5,2197.5,2215.25,2183.128875
2020-01-29,2215.25,2236.5,2215.25,2236.5,2450.84425
2020-01-30,2236.5,2252.5,2236.5,2252.5,0.0
2020-01-31,2252.5,2271.0,2252.25,2271.0,0.0
2020-02-01,2271.0,2280.75,2236.5,2280.0,11197.199925
2020-02-02,2280.0,2314.5,2279.75,2287.0,21198.21615
2020-02-03,2287.0,2298.0,2277.25,2288.5,10369.41505
2020-02-04,2288.5,2296.0,2288.5,2292.5,0.0
2020-02-05,2292.5,2303.75,2292.5,2303.75,9211.150875
2020-02-06,2303.75,2340.25,2303.75,2326.5,5139.915275
2020-02-07,2326.5,2340.25,2325.75,2331.25,472.31125
2020-02-08,2331.25,2339.0,2331.25,2339.0,4.90665
2020-02-09,2339.0,2359.75,2336.5,2352.0,7155.43585
2020-02-10,2352.0,2372.25,2351.5,2372.25,113.564725
2020-02-11,2372.25,2394.0,2372.0,2394.0,609.1659
2020-02-12,2394.0,2397.5,2375.0,2397.0,0.0
2020-02-13,2397.0,2425.75,2394.0,2425.75,1572.7086
2020-02-14,2425.75,2431.25,2425.75,2431.25,0.0
2020-02-15,2431.25,2454.0,2425.75,2453.0,247.3632
2020-02-16,2453.0,2454.0,2426.0,2443.0,2904.054575
2020-02-17,2443.0,2479.75,2443.0,2452.5,5337.76355
2020-02-18,2452.5,2463.0,2452.0,2463.0,189.4047
2020-02-19,2463.0,2474.25,2463.0,2474.25,477.402675
2020-02-20,2474.5,2513.0,2455.75,2472.0,140509.572525
2020-02-21,2472.0,2486.5,2468.0,2484.25,5529.846375
2020-02-22,2484.25,2485.75,2469.5,2469.5,493.9
