startTime,open,high,low,close,volume
2020-12-25,7478.5,7964.5,7450.0,7950.5,20687.5348
2020-12-26,7950.5,8637.5,7838.5,8432.0,185076.01515
2020-12-27,8432.0,9086.0,8432.0,8584.5,9493.5239
2020-12-28,8584.5,8974.5,8513.0,8850.5,6464.9252
2020-12-29,8850.5,8973.0,8565.0,8973.0,18321.42165
2020-12-30,8973.0,9465.5,8973.0,9394.0,95239.2356
2020-12-31,9394.0,9547.5,9243.0,9477.0,20848.02545
2021-01-01,9477.0,9680.0,9355.5,9576.5,654.0603
2021-01-02,9559.0,10741.5,9559.0,10326.5,97378.9023
2021-01-03,10326.5,11238.5,10310.0,10934.5,31104.0226
2021-01-04,11154.0,11154.0,9534.0,10520.0,52673.54435
2021-01-05,10520.0,11948.5,10291.0,11756.5,80655.1928
2021-01-06,11948.5,12655.5,11584.0,12622.5,5177.829
2021-01-07,12622.5,14098.5,12326.0,13778.0,404368.08305
2021-01-08,13778.0,14847.5,13051.0,14626.0,233912.98365
2021-01-09,14626.0,15454.0,14005.0,15250.0,103055.906
2021-01-10,15250.0,18234.0,14007.0,14581.0,473913.528
2021-01-11,14581.0,14813.0,11233.0,13444.0,284090.6611
2021-01-12,13444.0,14100.0,12536.0,12930.0,163808.7288
2021-01-13,12930.0,14348.0,12592.0,14301.0,110583.7695
2021-01-14,14301.0,15537.0,14300.0,15415.0,35335.3185
2021-01-15,15415.0,16188.0,13049.0,14365.0,47761.5988
2021-01-16,14365.0,15076.0,14068.0,14200.0,64379.1713
2021-01-17,14200.0,14377.0,13484.0,14182.0,44230.328
2021-01-18,14182.0,14618.0,13753.0,14323.0,8602.316
2021-01-19,14229.0,14797.0,14229.0,14251.0,155406.8533
2021-01-20,14320.0,14320.0,13587.0,14217.0,11335.2492
2021-01-21,14250.0,14250.0,13176.0,13191.0,725756.3435
2021-01-22,13176.0,13612.0,13131.0,13323.0,73389.8898
2021-01-23,13323.0,13342.0,12857.0,13228.0,69039.516
2021-01-24,13228.0,13242.0,13031.0,13193.0,21163.5187
2021-01-25,13193.0,13430.0,12988.0,13147.0,147934.1408
2021-01-26,13150.0,13150.0,13000.0,13050.0,9165.7241
2021-01-27,13050.0,13050.0,12880.0,12880.0,19087.5669
2021-01-28,12880.0,13181.0,12794.0,13064.0,142165.9842
2021-01-29,13181.0,14962.0,12800.0,13604.0,922532.4465
2021-01-30,13604.0,14335.0,12953.0,13555.0,62252.4239
2021-01-31,13555.0,13611.0,13248.0,13477.0,14419.9909
2021-02-01,13473.0,13978.0,13473.0,13534.0,5047.9642
2021-02-02,13534.0,14633.0,13332.0,14514.0,90734.8613
2021-02-03,14633.0,15274.0,14506.0,15274.0,104580.0625
2021-02-04,15274.0,15583.0,14802.0,15287.0,31881.2667
2021-02-05,15287.0,15930.0,14886.0,15420.0,755926.7125
2021-02-06,15300.0,16499.0,15300.0,15986.0,69150.0371
2021-02-07,16322.0,16322.0,15220.0,15654.0,149087.5756
2021-02-08,15654.0,19949.0,15439.0,19355.0,398000.9734
2021-02-09,19355.0,19877.0,18838.0,19350.0,17328.6643
2021-02-10,19350.0,19743.0,18260.0,18435.0,229060.6677
2021-02-11,18435.0,20152.0,18336.0,19945.0,292795.4838
2021-02-12,19945.0,20301.0,19130.0,19533.0,207224.7314
2021-02-13,19533.0,19533.0,19221.0,19221.0,315.2244
