startTime,open,high,low,close,volume
2019-11-28,1151.0,1250.0,671.0,1075.75,475298.0428
2019-11-29,1075.75,1378.5,1063.25,1231.0,1259302.1153
2019-11-30,1231.0,1231.0,1000.0,1113.5,1593938.57
2019-12-01,1113.75,1232.5,1113.75,1149.5,26037.243025
2019-12-02,1149.5,1244.75,1125.25,1146.75,3091.0627
2019-12-03,1146.75,1162.5,1099.25,1138.5,458277.823725
2019-12-04,1138.5,1307.5,1014.0,1250.75,278048.36685
2019-12-05,1250.75,1269.25,1096.5,1111.75,7169.151275
2019-12-06,1111.75,1996.0,1016.25,1029.75,12236.997375
2019-12-07,1029.25,1050.25,977.25,980.0,127418.234975
2019-12-08,980.0,1028.75,925.75,932.75,11088.85625
2019-12-09,932.75,1034.5,884.25,1021.0,587.9218
2019-12-10,1021.0,1085.5,988.25,1030.5,105343.41975
2019-12-11,1030.5,1060.5,995.5,1014.0,13532.8214
2019-12-12,1014.0,1080.75,955.0,993.25,114682.83855
2019-12-13,993.25,993.25,895.75,912.75,282.93615
2019-12-14,912.75,1068.75,894.25,1024.75,11555.5
2019-12-15,1024.75,1053.5,936.25,967.0,1042.5
2019-12-16,966.75,1198.0,939.25,1162.75,142748.36605
2019-12-17,1162.75,1446.5,1108.5,1396.5,95397.0144
2019-12-18,1396.5,1561.0,700.0,805.75,155856.308975
2019-12-19,805.5,988.0,757.0,928.5,169255.108875
2019-12-20,928.5,984.25,864.75,879.75,787.7992
2019-12-21,879.75,938.0,879.75,913.75,454.9065
2019-12-22,913.5,924.75,577.25,581.25,8149.4559
2019-12-23,579.0,766.25,450.5,719.75,80.734
2019-12-24,721.0,860.25,619.0,768.5,1005.779275
2019-12-25,768.0,905.0,752.5,827.5,1420.176575
2019-12-26,827.5,872.5,599.75,828.0,5703.94505
2019-12-27,828.25,835.0,805.0,812.25,160.721225
